building_id,building_type,height,num_floors,latitude,longitude
B000545,unknown,,,17.3765119,78.4197914
B000546,unknown,,,17.3762358,78.419901
B000547,unknown,,,17.3770793,78.4199723
B000548,unknown,,,17.3770646,78.4201743
B000549,unknown,,,17.3768096,78.4201503
B000550,unknown,,,17.3766973,78.4204826
B000551,unknown,,,17.3763852,78.4204939
B000552,unknown,,,17.3765751,78.4204511
B000553,unknown,,,17.3762016,78.4204094
B000554,unknown,,,17.3760499,78.4203656
B000555,unknown,,,17.3756261,78.4204386
B000556,unknown,,,17.375436,78.4204321
B000557,unknown,,,17.3758064,78.4204311
B000558,unknown,,,17.3756939,78.4202234
B000559,unknown,,,17.3754947,78.419943
B000560,unknown,,,17.3756833,78.4200164
B000561,unknown,,,17.3753732,78.4200481
B000562,unknown,,,17.3749083,78.4200302
B000563,unknown,,,17.3749726,78.4200495
B000564,unknown,,,17.3749791,78.4201199
B000565,unknown,,,17.3749379,78.4202581
B000566,unknown,,,17.3752484,78.4203827
B000567,unknown,,,17.3753525,78.4204409
B000568,unknown,,,17.3751878,78.4203895
B000569,unknown,,,17.3751759,78.4203952
B000570,unknown,,,17.3749725,78.4203871
B000571,unknown,,,17.3748783,78.4204786
B000572,unknown,,,17.3746794,78.4204929
B000573,unknown,,,17.3745974,78.4205059
B000574,unknown,,,17.3748327,78.4203299
B000575,unknown,,,17.37481,78.4202157
B000576,unknown,,,17.3746665,78.4203541
B000577,unknown,,,17.3744413,78.4203792
B000578,unknown,,,17.3744246,78.4205162
B000579,unknown,,,17.3741329,78.4204081
B000580,unknown,,,17.374021,78.4204252
B000581,unknown,,,17.3737989,78.4204442
B000582,unknown,,,17.3739077,78.4204311
B000583,unknown,,,17.37373,78.4202748
B000584,unknown,,,17.3738754,78.4202576
B000585,unknown,,,17.3740177,78.4202329
B000586,unknown,,,17.3741271,78.4200986
B000587,unknown,,,17.374132,78.4202003
B000588,unknown,,,17.3738737,78.4201246
B000589,unknown,,,17.374003,78.4201136
B000590,unknown,,,17.3745151,78.42006
B000591,unknown,,,17.3744533,78.4200685
B000592,unknown,,,17.3743558,78.4200756
B000593,unknown,,,17.3744058,78.4202026
B000594,unknown,,,17.3746405,78.4201706
B000595,unknown,,,17.3747738,78.4201093
B000596,unknown,,,17.3747615,78.420004
B000597,unknown,,,17.3746339,78.4200422
B000598,unknown,,,17.3748727,78.4199099
B000599,unknown,,,17.3747152,78.4198285
B000600,unknown,,,17.3745775,78.4198882
B000601,unknown,,,17.374381,78.4198919
B000602,unknown,,,17.3742867,78.4196546
B000603,unknown,,,17.3747034,78.4197292
B000604,unknown,,,17.3748117,78.4197016
B000605,unknown,,,17.3746582,78.4196128
B000606,unknown,,,17.3743544,78.419437
B000607,unknown,,,17.374389,78.4193705
B000608,unknown,,,17.3744596,78.4193596
B000609,unknown,,,17.3745655,78.4196474
B000610,unknown,,,17.3744866,78.4196437
B000611,unknown,,,17.3740775,78.4196299
B000612,unknown,,,17.3741009,78.419453
B000613,unknown,,,17.374284,78.4194168
B000614,unknown,,,17.3740556,78.4194808
B000615,unknown,,,17.3738274,78.4193397
B000616,unknown,,,17.3738854,78.4195034
B000617,unknown,,,17.3738386,78.4197148
B000618,unknown,,,17.3739335,78.419655
B000619,unknown,,,17.3742302,78.4196567
B000620,unknown,,,17.3742731,78.4197725
B000621,unknown,,,17.3740945,78.4197773
B000622,unknown,,,17.3743015,78.4198975
B000623,unknown,,,17.3740876,78.4199136
B000624,unknown,,,17.3739908,78.419923
B000625,unknown,,,17.3739268,78.4199197
B000626,unknown,,,17.3737639,78.419947
B000627,unknown,,,17.3736826,78.4199522
B000628,unknown,,,17.3734828,78.4199509
B000629,unknown,,,17.373332,78.4198441
B000630,unknown,,,17.3734615,78.4197779
B000631,unknown,,,17.3735439,78.4197532
B000632,unknown,,,17.3737147,78.4197489
B000633,unknown,,,17.373723,78.4195336
B000634,unknown,,,17.3736989,78.4194238
B000635,unknown,,,17.3735557,78.4194405
